,QWK,QWK,QWK,QWK,QWK,SMR,SMR,SMR,SMR,SMR
shots_per_class,2,5,10,20,50,2,5,10,20,50
model,,,,,,,,,,
OrdinalLogistic,0.499943354926087,0.5947745078678262,0.6493366206295653,0.6851385581339131,0.7176038058299999,0.07720528762586958,0.06518997097434782,0.0548769359026087,0.04758301304434783,0.03395958672130435
TabICL_flat,0.45838312691086963,0.5932859972152175,0.6642878472115217,0.7172227245919566,0.7588868475767392,0.13676858904217393,0.09293224266695653,0.07384915747913044,0.060348609540434785,0.04071240481326087
TabPFN_RankCode,0.48974601119608696,0.619013276345,0.6777593645006522,0.7235103634502223,0.7577350593754348,0.07246991683913044,0.05435336814217392,0.043917454925434786,0.032446146964730305,0.025406211241956522
TabPFN_flat,0.4854479835067391,0.6313751400067391,0.6856450841815217,0.7270280236243478,0.7610545616680435,0.12863616079369566,0.08621349068,0.069392068985,0.05733978316456522,0.04025976707956522
XGB_multiclass,0.3586238669476087,0.5223802096493478,0.6017477499984784,0.6486254969960871,0.6933228391930435,0.16746267503847828,0.11030504763956522,0.08672147563608697,0.07432301654108696,0.05843709501847826
