comparison,n_datasets,mean_dSMR,median_dSMR,n_improved,n_worsened,n_tied,wilcoxon_W,wilcoxon_p,mean_ci_lo,mean_ci_hi,paired_t_p,mean_dQWK
TabPFN_flat vs TabPFN_RankCode,46,0.005215678258595879,0.0,20,17,9,256.0,0.1496580687261793,0.0007369287171399027,0.010328143653073591,0.04285106486793745,-0.0016274596789807958
TabICL_flat vs TabICL_RankCode,46,0.004956800758695651,0.0,18,18,10,251.0,0.19765298606564796,0.0006500281209746377,0.00987041083596014,0.04519379471288272,0.00019562953101449115
