,QWK,QWK,SMR,SMR
shift,none,prior_shift,none,prior_shift
model,,,,
TabICL_RankCode,0.7733157998356521,0.7680332197747827,0.02927879524347826,0.033031845089130436
TabICL_flat,0.7728032912295653,0.7644957363821739,0.03374955342434782,0.041272939061304345
TabPFN_RankCode,0.7683660002675623,0.7629950831456521,0.029071178499130438,0.03260151128478261
TabPFN_flat,0.7697585476834783,0.7617389018691304,0.03459962454956522,0.04195317328913043
XGB_multiclass,0.7331023794447826,0.7242918631,0.04135265601434783,0.04764374700478261
