variant,QWK,MAE,SMR,ExtremeRecall
flat,0.8490486672679155,0.47328131492762615,0.018233545350701888,0.8344642855855233
tabicl_flat,0.8464217156158081,0.4793218957725158,0.01820607689081082,0.830295947976758
threshold_boundary,0.8430187956540155,0.5262192272663863,0.01567896084751145,0.7749477970866271
full_rankcode,0.8410816919966144,0.528607482597596,0.01636465434807991,0.7811352464550511
tabicl_rankcode,0.8401640950039682,0.5343625881890287,0.01594363161448536,0.777179767699179
vanilla_threshold,0.8395610407077088,0.5118738264819546,0.014362935708740263,0.7327260754317334
threshold_repair,0.8388040150945041,0.5129441490066774,0.014482439121231481,0.7359349497624734
