scenario,comparison,n_seeds,flat_SMR,rankcode_SMR,mean_dSMR,rel_reduction_pct,wilcoxon_p
mild_ir3,TabPFN_flat vs TabPFN_RankCode,15,0.002,0.0016666666666666668,0.0003333333333333333,16.666666666666664,0.5637028616507731
mild_ir3,TabICL_flat vs TabICL_RankCode,15,0.0026666666666666666,0.0016666666666666668,0.001,37.5,0.25683925795785656
moderate_ir10,TabPFN_flat vs TabPFN_RankCode,15,0.015333333333333336,0.009666666666666665,0.005666666666666666,36.95652173913043,0.004864258045175031
moderate_ir10,TabICL_flat vs TabICL_RankCode,15,0.014666666666666668,0.011000000000000001,0.003666666666666666,24.999999999999993,0.017418480115301237
severe_ir30,TabPFN_flat vs TabPFN_RankCode,15,0.016999999999999998,0.010666666666666666,0.006333333333333333,37.25490196078432,0.00216583400102514
severe_ir30,TabICL_flat vs TabICL_RankCode,15,0.017,0.009333333333333334,0.007666666666666666,45.09803921568627,0.0032989353588360605
