model,balanced,mild_ir3,moderate_ir10,rare_extreme,severe_ir30
CORAL,0.0,0.0016666666666666668,0.011666666666666667,0.0,0.011666666666666665
OrdinalLogistic,0.0,0.0016666666666666668,0.011666666666666667,0.0,0.011666666666666665
TabICL_RankCode,0.0,0.0016666666666666668,0.011000000000000001,0.0,0.009333333333333334
TabICL_flat,0.0,0.0026666666666666666,0.014666666666666666,0.0,0.017
TabPFN_RankCode,0.0,0.0016666666666666668,0.009666666666666667,0.0,0.010666666666666666
TabPFN_flat,0.0,0.002,0.015333333333333334,0.0,0.017
XGB_cumulative,0.0003333333333333333,0.008333333333333333,0.051666666666666666,0.0003333333333333333,0.06433333333333333
XGB_multiclass,0.002333333333333333,0.019000000000000003,0.06766666666666668,0.0016666666666666668,0.07733333333333334
